N,time_custom_s,time_scipy_s
8,5.339999916031957e-05,1.829996472224593e-05
16,9.200000204145908e-05,2.169999061152339e-05
32,0.0001742999884299934,3.5100034438073635e-05
64,0.0004403999773785472,5.129998316988349e-05
96,0.0007938000489957631,9.049999061971903e-05
128,0.0016278999974019825,0.0001737999846227467
160,0.002661100006662309,0.00021660001948475838
192,0.004206600016914308,0.0003350000479258597
224,0.005963000003248453,0.00048149999929592013
256,0.007489799987524748,0.0008345000096596777
320,0.013838799961376935,0.0008242999901995063
384,0.019451099971774966,0.0018637999892234802
448,0.029535099980421364,0.0028301000129431486
512,0.04612849996192381,0.003001200035214424
768,0.35507699998561293,0.010800599993672222
1024,0.5033693000441417,0.023467799997888505
1536,1.7774812999996357,0.05914740002481267
2048,5.5403626000043005,0.11987940000835806
