N,time_custom_s,time_scipy_s
8,0.00010910071432590485,3.609992563724518e-05
16,0.00018190033733844757,3.9699487388134e-05
32,0.00033449940383434296,4.720035940408707e-05
64,0.0006210003048181534,9.009987115859985e-05
96,0.0012199999764561653,0.0003476003184914589
128,0.0019845999777317047,0.00020699948072433472
160,0.0032149003818631172,0.0002593994140625
192,0.0038997000083327293,0.0003297002986073494
224,0.006636099889874458,0.0006673997268080711
256,0.007487500086426735,0.0005596000701189041
320,0.013502399437129498,0.0014051999896764755
384,0.02216439973562956,0.001922300085425377
448,0.031924099661409855,0.0029416000470519066
512,0.0550891999155283,0.004626000300049782
768,0.30195199977606535,0.010118800215423107
1024,0.9366018995642662,0.024043500423431396
1536,2.9383225003257394,0.058431899175047874
2048,6.556566900573671,0.10095110069960356
